//Dictionary
a	nho, mot it
abandon	bo, tu bo
abandoned	bi bo roi, bi ruong bo
ability	kha nang, nang luc
able	co nang luc, co tai
about	khoang, ve
above	o tren, len tren
abroad	o, ra nuoc ngoai, ngoai troi
absence	su vang mat
absent	vang mat, nghi
absolute	tuyet doi, hoan toan
absolutely	tuyet doi, hoan toan
absorb	thu hut, hap thu, loi cuon
abuse	long hanh, lam dung
academic	thuoc hoc vien, dh, vien han lam
accent	trong am, dau trong am
accept	chap nhan, chap thuan
acceptable	co the chap nhan, chap thuan
access	loi, cua, duong vao
accident	tai nan, rui ro. by accident: tinh co
accidental	tinh co, bat ngo
accidentally	tinh co, ngau nhien
accommodation	su thich nghi, su dieu tiet, su lam cho phu hop
accompany	di theo, di cung, kem theo.
according to	theo, y theo
account	tai khoan, ke toan; tinh toan, tinh den
accurate	dung dan, chinh xac, xac dang
accurately	dung dan, chinh xac
accuse	to cao, buoc toi, ket toi
achieve	dat duoc, danh duoc
achievement	thanh tich, thanh tuu 
acid	axit
acknowledge	cong nhan, thua nhan
acquire	danh duoc, dat duoc, kiem duoc
across	qua, ngang qua
act	hanh dong, hanh vi, cu chi, doi xu
action	hanh dong, hanh vi, tac dong. take action: hanh dong
active	tich cuc hoat dong, nhanh nhen
actively	tich cuc hoat dong; nhanh nhen, linh loi; co hieu luc
activity	su tich cuc, su hoat dong, su nhanh nhen, su linh loi
actor	dien vien nam
actress	dien vien nu
actual	thuc te, co that
actually	hien nay, hien tai
adapt	tra, lap vao
add	cong, them vao
addition	tinh cong, phep cong
additional	them vao, tang them
address	dia chi, de dia chi
adequate	day, day du
adequately	tuong xung, thoa dang
adjust	sua lai cho dung, dieu chinh
admiration	su kham phuc, than phuc
admire	kham phuc, than phuc
admit	nhan vao, cho vao, ket hop
adopt	nhan lam con nuoi, bo me nuoi
adult	nguoi lon, nguoi truong thanh, truong thanh
advance	su tien bo, tien len; dua len, de xuat
advanced	tien tien, tien bo, cap cao. in advance truoc, som
advantage	su thuan loi, loi ich, loi the. take advantage of loi dung 
adventure	su phieu luu, mao hiem
advertise	bao cho biet, bao cho biet truoc
advertisement	quang cao
advertising	su quang cao, nghe quang cao
advice	loi khuyen, loi chi bao
advise	khuyen, khuyen bao, ran bao
affair	viec
affect	lam anh huong, tac dong den
affection	tinh cam, su yeu men
afford	co the, co du kha nang, dieu kien(lam gi)
afraid	so, so hai, hoang so
after	sau, dang sau, sau khi
afternoon	buoi chieu
afterwards	sau nay, ve sau, roi thi, sau day
again	lai, nua, lan nua
against	chong lai, phan doi
age	tuoi
aged	gia di
agency	tac dung, luc; moi gioi, trung gian
agent	dai ly, tac nhan
aggressive	xam luoc, hung hang (us: xong xao)
ago	truoc day
agree	dong y, tan
agreement	su dong y, tan thanh; hiep dinh, hop dong
ahead	truoc, ve phia truoc
aid	su giup do; them vao, phu vao
aim	su nham (ban), muc tieu, y dinh; nham, tap trung, huong vao
air	khong khi, bau khong khi, khong gian
aircraft	may bay, khi cau
airport	san bay, phi truong 
alarm	bao dong, bao nguy
alarmed	bao dong
alarming	lam lo so, lam hot hoang, lam so hai
alcohol	ruou con
alcoholic	ruou; nguoi nghien ruou
alive	song, van con song, con ton tai
all	tat ca
all right	tot, on, khoe manh; duoc
allied	lien minh, dong minh, thong gia
allow	cho phep, de cho
ally	nuoc dong minh, lien minh; lien ket, ket thong gia
almost	hau nhu, gan nhu
alone	co don, mot minh
along	doc theo, theo; theo chieu dai,suot theo
alongside	sat canh, ke ben, doc theo
aloud	lon tieng, to tieng
alphabet	bang chu cai, buoc dau, dieu co ban
alphabetical	thuoc bang chu cai
alphabetically	theo thu tu abc
already	da, roi, da... roi
also	cung, cung vay, cung the
alter	thay doi, bien doi, sua doi
alternative	su lua chon; lua chon
alternatively	nhu mot su lua chon
although	mac du, dau cho
altogether	hoan toan, hau nhu; noi chung
always	luon luon
amaze	lam ngac nhien, lam sung sot
amazed	kinh ngac, sung sot
amazing	kinh ngac, sung sot 
ambition	hoai bao, khat vong
ambulance	xe cuu thuong, xe cap cuu
among	giua, o giua
amount	so luong, so nhieu; len toi(money)
amuse	lam cho vui, thich, lam buon cuoi
amused	vui thich
amusing	vui thich
analyse	phan tich
analysis	su phan tich
ancient	xua, co
and	va
anger	su tuc gian, su gian du
angle	goc
angrily	tuc gian, gian du
angry	gian, tuc gian
animal	dong vat, thu vat
ankle	mat ca chan
anniversary	ngay, le ki niem
announce	bao, thong bao
annoy	choc tuc, lam buc minh; lam phien, quay nhieu
annoyed	bi kho chiu, buc minh, bi quay ray
annoying	choc tuc, lam buc minh; lam phien, quay nhieu
annual	hang nam, tung nam
annually	hang nam, tung nam
another	khac
answer	su tra loi; tra loi
anti	chong lai
anticipate	thay truoc, chan truoc, luong truoc
anxiety	moi lo au, su lo lang
anxious	lo au, lo lang, ban khoan
anxiously	lo au, lo lang, ban khoan 
any	mot nguoi, vat nao do; bat cu; mot chut nao, ti nao
anyone	nguoi nao, bat cu ai
anything	viec gi, vat gi; bat cu viec gi, vat gi
anyway	the nao cung duoc, du sao chang nua
anywhere	bat cu cho nao, bat cu noi dau
apart	ve mot ben, qua mot ben
apartment	can phong, can buong
apologize	xin loi, ta loi
